"FUELCOST_MONTHLY","Please don't change this row, otherwise this file may not be valid anymore!"
"Fuel Name","Year","Fuel Scaler","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"DefaultFuel","0","1","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99"
"Coal_Alberta","0","1","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055"
"Coal_AZ","0","1","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502"
"Coal_ID","0","1","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836"
"Coal_MT","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Coal_UT","0","1","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468"
"Coal_NM","0","1","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496"
"Coal_CO_East","0","1","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182"
"Coal_CA_South","0","1","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443"
"Coal_CO_West","0","1","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355"
"Geothermal","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Oil_DistillateFuel_L","0","1","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019"
"Petroleum Coke","0","1","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095"
"Uranium","0","1",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564"
"Purchased_Steam","0","1","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255"
"Waste_Heat","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Synthetic Gas","0","1","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325"
"Coal_WY_SW","0","1","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425"
"Bio_Agri_Res","0","1",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377"
"Bio_Blk_Liquor","0","1",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255"
"Bio_Landfill_Gas","0","1","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763"
