GENERATION_DISTRIBUTION
Note!!! Please add ' at the beginning of generator ID as a special indicator of text type.
Unit Name,Unit ID, Type, Element Name, Ratio
Afton CC,'1,BUS,10485,0.450635
Afton CC,'1,BUS,10486,0.549365
AgnewsCC-Total,'2,BUS,35860,0.2395833
AgnewsCC-Total,'1,BUS,35860,0.7604167
AguaCalienteSolar,'G1,BUS,14423,0.532064
AguaCalienteSolar,'G2,BUS,14424,0.467937
Alamitos CC1a,'G1,BUS,24575,0.6500726
Alamitos CC1a,'S1,BUS,24577,0.3499274
Alamitos CC1b,'G2,BUS,24576,0.6500726
Alamitos CC1b,'S1,BUS,24577,0.3499274
AlgonquinCC-Total,'2,BUS,34646,0.1958763
AlgonquinCC-Total,'1,BUS,34646,0.8041237
ANC CAT02,'10,BUS,55298,0.2
ANC CAT02,'G8,BUS,55298,0.2
ANC CAT02,'G6,BUS,55298,0.2
ANC CAT02,'G9,BUS,55298,0.2
ANC CAT02,'G7,BUS,55298,0.2
ANC CAT03,'G4,BUS,56298,0.2
ANC CAT03,'G5,BUS,56298,0.2
ANC CAT03,'G3,BUS,56298,0.2
ANC CAT03,'G2,BUS,56298,0.2
ANC CAT03,'G1,BUS,56298,0.2
Antelope Big Sky Ranch1PV-NT20,'1,BUS,29701,1
Antelope Big Sky Ranch1PV-NT20,'1,BUS,29701,1
Antelope Nuclear_1_1,'1,BUS,65081,1
Antelope Nuclear_1_10,'1,BUS,65081,1
Antelope Nuclear_1_11,'1,BUS,65081,1
Antelope Nuclear_1_12,'1,BUS,65081,1
Antelope Nuclear_1_2,'1,BUS,65081,1
Antelope Nuclear_1_3,'1,BUS,65081,1
Antelope Nuclear_1_4,'1,BUS,65081,1
Antelope Nuclear_1_5,'1,BUS,65081,1
Antelope Nuclear_1_6,'1,BUS,65081,1
Antelope Nuclear_1_7,'1,BUS,65081,1
Antelope Nuclear_1_8,'1,BUS,65081,1
Antelope Nuclear_1_9,'1,BUS,65081,1
Antelope Solar 2 LAB,'EQ,BUS,29792,1
Antelope Solar 2 Luna,'EQ,BUS,29792,1
Apache CC,'1,BUS,17024,0.117647
Apache CC,'1,BUS,17028,0.882353
Apex CC1a,'1A,BUS,26232,0.5947703
Apex CC1a,'ST,BUS,26234,0.4052297
Apex CC1b,'1B,BUS,26233,0.5947703
Apex CC1b,'ST,BUS,26234,0.4052297
Apex Solar 690,'G1,BUS,181081,0.367035
Apex Solar 690,'PV,BUS,18753,0.158595
Apex Solar 690,'PV,BUS,18756,0.158595
Apex Solar 690,'PV,BUS,18759,0.158595
Apex Solar 690,'PV,BUS,18762,0.157179
Apparent First Hybrid,'1,BUS,365936,0.766129
Apparent First Hybrid,'2,BUS,365940,0.233871
Aragonne Mesa,'1,BUS,10901,0.279689
Aragonne Mesa,'1,BUS,10995,0.720311
Arapahoe CC1a,'G5,BUS,70553,0.6280992
Arapahoe CC1a,'ST,BUS,70554,0.3719008
Arapahoe CC1b,'G6,BUS,70553,0.6311476
Arapahoe CC1b,'ST,BUS,70554,0.3688525
Arlington BESS,'1,BUS,25736,0.189055
Arlington BESS,'1,BUS,25742,0.810945
Arlington Valley CC1a,'1,BUS,15145,0.5522801
Arlington Valley CC1a,'1,BUS,15147,0.4477199
Arlington Valley CC1b,'1,BUS,15146,0.553868
Arlington Valley CC1b,'1,BUS,15147,0.446132
Arroyo Solar-1,'1,BUS,10633,0.5
Arroyo Solar-1,'1,BUS,10638,0.5
