"HR_GENERAL","HR_GENERAL"
"Note: For hourly resource units, there are three valid types - Wind, Solar and Others."
"GeneratorKey","GeneratorName","Type","CommitmentShapeID","CommitmentShapeName","CommitmentMultiplier","DispatchShapeID","DispatchShapeName","DispatchMultiplier","CommitmentVariation(%)","CommitmentPdf","DispatchVariation(%)","DispatchPdf","Capacity(MW)","Spillage","IfEnableMultiBlock","ModelType","IfUseInvertLoadingRatio","InvertLoadingRatio","TargetCapacityFactor"
"16437","100B-Ekola Flats WD 1","Wind","5507","WT_Ekola Flats Wind0WT250.9 A-1_[18]","120.4","5507","WT_Ekola Flats Wind0WT250.9 A-1_[18]","120.4","0","0","0","0","120.4",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16438","100B-Ekola Flats WD 2","Wind","5507","WT_Ekola Flats Wind0WT250.9 A-1_[18]","129.5","5507","WT_Ekola Flats Wind0WT250.9 A-1_[18]","129.5","0","0","0","0","129.5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17690","2021-G1","Solar","4086","PV_2021-G11PV-T150_[18]","150","4086","PV_2021-G11PV-T150_[18]","150","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18388","2021-G2","Solar","4248","PV_2021-G21PV-T22_[18]","22","4248","PV_2021-G21PV-T22_[18]","22","0","0","0","0","22",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18389","2021-G3","Solar","4059","PV_2021-G31PV-T119_[18]","119","4059","PV_2021-G31PV-T119_[18]","119","0","0","0","0","119",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18390","2021-G4","Solar","4058","PV_2021-G41PV-T463_[18]","463","4058","PV_2021-G41PV-T463_[18]","463","0","0","0","0","463",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18391","2021-G5","Solar","4185","PV_2021-G51PV-T300_[18]","300","4185","PV_2021-G51PV-T300_[18]","300","0","0","0","0","300",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18402","2021-G6","Wind","6063","WT_2021-G61WT135 B-1_[18]","135","6063","WT_2021-G61WT135 B-1_[18]","135","0","0","0","0","135",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17509","2097 Helton","Solar","4723","PV_2097 Helton1PV-NT1.5_[18]","1.5","4723","PV_2097 Helton1PV-NT1.5_[18]","1.5","0","0","0","0","1.5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18011","255S Vulcan Faribault Farms","Solar","5070","PV_255S Vulcan Faribault Farms P V1PV-NT22_[18]","22","5070","PV_255S Vulcan Faribault Farms P V1PV-NT22_[18]","22","0","0","0","0","22",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16901","421S Hays DG PV","Solar","5061","PV_Hays (HYS1)1PV-NT23_[18]","23","5061","PV_Hays (HYS1)1PV-NT23_[18]","23","0","0","0","0","23",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16322","70724_ADS30_Spring Canyon 2-3","Wind","5574","WT_Spring Canyon2WT32 A-1_[18]","60","5574","WT_Spring Canyon2WT32 A-1_[18]","60","0","0","0","0","60",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16902","895S Suffield DG PV","Solar","5075","PV_Suffield (SUF1)1PV-NT23_[18]","22","5075","PV_Suffield (SUF1)1PV-NT23_[18]","22","0","0","0","0","22",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13192","Adams East","Solar","4674","PV_Adams East1PV-NT19_[18]","19","4674","PV_Adams East1PV-NT19_[18]","19","0","0","0","0","19",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17091","Adams Solar OR","Solar","4960","PV_Adams Solar Center LLC0PV-T10_[18]","10","4960","PV_Adams Solar Center LLC0PV-T10_[18]","10","0","0","0","0","10",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13660","Adelanto Solar","Solar","4328","PV_Adelanto Solar1PV-NT20_[18]","20","4328","PV_Adelanto Solar1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17844","Adelanto Solar Facility1PV-NT10","Solar","4329","PV_Adelanto Solar Facility1PV-NT10_[18]","10","4329","PV_Adelanto Solar Facility1PV-NT10_[18]","10","0","0","0","0","10",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17059","Adera Solar","Solar","4716","PV_Adera Solar1PV-NT20_[18]","20","4716","PV_Adera Solar1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17534","Adobe Solar","Solar","4448","PV_Adobe Solar1PV-NT20_[18]","20","4448","PV_Adobe Solar1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16489","ADS30_PV_PSCO_8","Solar","5118","PV_Pike Solar1PV-T175_[18]","175","5118","PV_Pike Solar1PV-T175_[18]","175","0","0","0","0","175",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17071","ADS30_WT_PGE_Wheatridge","Wind","5304","WT_Wheatridge40WT100 A-1_[18]","100","5304","WT_Wheatridge40WT100 A-1_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16482","ADS30_WT_WACM_1","Wind","5578","WT_Crossing Trails Wind Farm1WT104 A-1_[18]","104","5578","WT_Crossing Trails Wind Farm1WT104 A-1_[18]","104","0","0","0","0","104",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18050","Agua Fria HS PV Agg","Solar","4165","PV_AGUA FRIA UNION HIGH SCHOOL DI1PV1.2_[18]","2.32","4165","PV_AGUA FRIA UNION HIGH SCHOOL DI1PV1.2_[18]","2.32","0","0","0","0","2.32",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17685","Agua Fria Solar","Solar","4187","PV_Agua Fria Solar3PV-T0.19_[18]",".19","4187","PV_Agua Fria Solar3PV-T0.19_[18]",".19","0","0","0","0",".19",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13175","AguaCalienteSolar","Solar","4113","PV_Agua Caliente Solar1PV-NT290_[18]","290","4113","PV_Agua Caliente Solar1PV-NT290_[18]","290","0","0","0","0","290",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17090","Airport Solar SE-OR","Solar","4907","PV_Airport Solar0PV-T50_[18]","47.3","4907","PV_Airport Solar0PV-T50_[18]","47.3","0","0","0","0","47.3",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16816","Aiya Solar","Solar","4685","PV_Aiya Solar1PV-T100_[18]","100","4685","PV_Aiya Solar1PV-T100_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16749","Ajo Solar","Solar","4044","PV_Ajo Solar1PV4.5_[18]","4.5","4044","PV_Ajo Solar1PV4.5_[18]","4.5","0","0","0","0","4.5",#FALSE#,#FALSE#,"NA",#TRUE#,"1","1"
"17297","Alamo Solar","Solar","4330","PV_Alamo Solar1PV-NT20_[18]","20","4330","PV_Alamo Solar1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13267","Alamogordo PV","Solar","4111","PV_Alamogordo Solar PV1PV-NT5_[18]","5","4111","PV_Alamogordo Solar PV1PV-NT5_[18]","5","0","0","0","0","5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16852","Alamosa","Solar","4741","PV_Alamosa1PV-NT6.95_[18]","6.9","4741","PV_Alamosa1PV-NT6.95_[18]","6.9","0","0","0","0","6.9",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13232","Albuquerque PV","Solar","4465","PV_Albuquerque PV - Reeves Solar PV1PV-NT2_[18]","2","4465","PV_Albuquerque PV - Reeves Solar PV1PV-NT2_[18]","2","0","0","0","0","2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13525","Alhambra","Solar","4139","PV_SG Alhambra1PV-NT50_[18]","50","4139","PV_SG Alhambra1PV-NT50_[18]","50","0","0","0","0","50",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
