"MONTHLYVAR","Please don't change this row, otherwise this file may not be valid anymore!"
"Generator Name","DataTypeName","DataTypeID","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"150MileHouse","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"150MileHouse","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ABEC Bidart-Stockale #1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABEC Bidart-Stockale #1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Aberdeen","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aberdeen","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ADS30_CT_PSCO_Almsact_1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADS30_CT_PSCO_Almsact_1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ADS30_CT_PSCO_Almsact_2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADS30_CT_PSCO_Almsact_2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Advanced-Nuclear-Naughton","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Advanced-Nuclear-Naughton","Derate",3,0,1,1,1,1,1,.99,.99,.99,.99,1,1,1
"AED-U3-TG3GT45","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AED-U3-TG3GT45","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AED-U4-TG4GT45","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AED-U4-TG4GT45","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AED-U5-TG5GT45","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AED-U5-TG5GT45","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AERA ENERGY LLC. (COALINGA)","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AERA ENERGY LLC. (COALINGA)","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Afton CC","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afton CC","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AgnewsCC-Total","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AgnewsCC-Total","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AgnewsCC-Total","VARMarginRatio",13,0,.7594594,.7594594,.7594594,.7594594,.7594594,.7594594,.7594594,.7594594,.7594594,.7594594,.7594594,.7594594
"Agua Fria 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua Fria 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Agua Fria 2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua Fria 2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Agua Fria 3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua Fria 3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Agua Fria 4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua Fria 4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Agua Fria 5","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua Fria 5","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Agua Fria 6","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua Fria 6","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Agua_Mansa","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua_Mansa","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Agua_Mansa","VARMarginRatio",13,0,.944,.944,.944,.944,.944,.944,.944,.944,.944,.944,.944,.944
"Aidlin_Geo1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aidlin_Geo1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Aidlin_Geo2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aidlin_Geo2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AirLiquide","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AirLiquide","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Airport 5-1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Airport 5-1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Airport 5-1","VARMarginRatio",13,0,.9,.9,.9,.9,.9,.9,.9,.9,.9,.9,.9,.9
"Airport Industrial","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Airport Industrial","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Alameda1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alameda1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Alameda1","VARMarginRatio",13,0,.8828125,.8828125,.8828125,.8828125,.8828125,.8828125,.8828125,.8828125,.8828125,.8828125,.8828125,.8828125
"Alameda2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alameda2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Alameda2","VARMarginRatio",13,0,.921875,.921875,.921875,.921875,.921875,.921875,.921875,.921875,.921875,.921875,.921875,.921875
"Alamitos CC1a","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alamitos CC1a","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Alamitos CC1b","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alamitos CC1b","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AlgonquinCC-Total","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AlgonquinCC-Total","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AlgonquinCC-Total","VARMarginRatio",13,0,.7867495,.7867495,.7867495,.7867495,.7867495,.7867495,.7867495,.7867495,.7867495,.7867495,.7867495,.7867495
"Almond 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Almond 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Almond 2-2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Almond 2-2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Almond 2-2","VARMarginRatio",13,0,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769
"Almond 2-3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Almond 2-3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Almond 2-4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Almond 2-4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Almond 2-4","VARMarginRatio",13,0,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769,.9230769
"ALPAC1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPAC1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ALPAC2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPAC2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ALPAC3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPAC3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ALPAC4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPAC4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AltaGasPark_1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AltaGasPark_1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"AltaGasPark_1","VARMarginRatio",13,2032,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6,.6
"Altamont1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Altamont1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Amp_Chow_Bio","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amp_Chow_Bio","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ANC CAT0_1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANC CAT0_1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ANC CAT0_2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANC CAT0_2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ANC CAT0_3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANC CAT0_3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ANC CAT0_4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANC CAT0_4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ANC CAT02","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANC CAT02","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ANC CAT03","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
