generatorkey,ads_name,bus id,bus name,bus kv,unit id,generator typeid,subtype,long id,ads_long_name,servicestatus,commission_date,retirement_date,devstatus,balancing_area,region name,mincap(mw),maxcap(mw),initialdispatch(mw),save to binary,state,county,city,zipcode,fueltype,technology,btm,internalid,economicpmin,economicpmax,tech_type,GeneratorKey,GeneratorName_x,Type,DispatchShapeName,DispatchMultiplier,capacity_hourly_rsc,GeneratorName_y, Turbine Type,Model Type,MustRun,MinimumDownTime(hr),MinimumUpTime(hr),MaxUpTime(hr),Generic Ramp Rate Name,RampUp Rate(MW/minute),RampDn Rate(MW/minute),Startup Cost Fixed($),StartFuel(MMBTu),Startup Time,VOM Cost,IOMaxCap(MW),IOMinCap(MW),MinInput(MMBTu),IncCap2(MW),IncHR2(MMBTu/MWh),IncCap3(MW),IncHR3(MMBTu/MWh),IncCap4(MW),IncHR4(MMBTu/MWh),IncCap5(MW),IncHR5(MMBTu/MWh),IncCap6(MW),IncHR6(MMBTu/MWh),IncCap7(MW),IncHR7(MMBTu/MWh)
18746,DG-BTM_CISC_CA_Los Angeles,24028,DELAMO,66.0,'J8,4,DG-BTM,G0--,DG-BTM_CISC_CA_Los Angeles,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,CISC,CA_CISO,0.0,2265.535,0.0,YES,ID,,,,Solar,,#TRUE#,,0,2265.535,,18746.0,DG-BTM_CISC_CA_Los Angeles,Solar,DPV-ALL_Los Angeles_CA_F[18],2265.535,2265.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18611,DG-BTM_AZPS_AZ_Maricopa,85439,FLORES,12.5,'X3,4,DG-BTM,G0--,DG-BTM_AZPS_AZ_Maricopa,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,AZPS,SW_AZPS,0.0,1985.339,0.0,YES,ID,,,,Solar,,#TRUE#,,0,1985.339,,18611.0,DG-BTM_AZPS_AZ_Maricopa,Solar,DPV-ALL_Maricopa_AZ_F[18],1985.339,1985.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18750,DG-BTM_CISC_CA_San Bernardino,25688,ROADWAY 12,12.47,'J4,4,DG-BTM,G0--,DG-BTM_CISC_CA_San Bernardino,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,CISC,CA_CISO,0.0,1939.547,0.0,YES,ID,,,,Solar,,#TRUE#,,0,1939.547,,18750.0,DG-BTM_CISC_CA_San Bernardino,Solar,DPV-ALL_San Bernardino_CA_F[18],1939.547,1939.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17740,Battery (Generic)BA1645.24,25559,RP_WW230_2G,0.55,'VE,3,Battery Storage,_,34.196505_-118.931898,#TRUE#,#2031-01-01#,#2050-12-31#,Future-Planned,CISC,CA_CISO,-1645.24,1645.24,0.0,YES,CA,Kern,,T3,Electricity,,#FALSE#,,0,1645.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17791,Tehachapi_Solar (Generic)PV-NT1277,25378,RP_WW_2G,0.69,'VS,4,SolarPV-NonTracking,_,Iron Point -Proposed,#TRUE#,#2031-01-01#,#2050-12-31#,Future-Planned,CISC,CA_CISO,0.0,1277.0,0.0,YES,CA,Kern,,T3,Solar,Photovoltaic,#FALSE#,,0,1277,Solar_Photovoltaic,17791.0,Tehachapi_Solar (Generic)PV-NT1277,Solar,PV_Tehachapi_Solar (Generic)PV-NT1277_[18],1277.0,1277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17795,Tehachapi_Solar (Generic)PV-NT1247,25563,RP_ANT_AG,0.55,'VS,4,SolarPV-NonTracking,_,Iron Point -Proposed,#TRUE#,#2031-01-01#,#2050-12-31#,Future-Planned,CISC,CA_CISO,0.0,1247.0,0.0,YES,CA,Los Angeles,,T3,Solar,Photovoltaic,#FALSE#,,0,1247,Solar_Photovoltaic,17795.0,Tehachapi_Solar (Generic)PV-NT1247,Solar,PV_Tehachapi_Solar (Generic)PV-NT1247_[18],1247.0,1247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18808,DG-BTM_NEVP_NV_Clark,180130,RANGER1,12.5,'D6,4,DG-BTM,G0--,DG-BTM_NEVP_NV_Clark,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,NEVP,SW_NVE,0.0,1204.547,0.0,YES,ID,,,,Solar,,#TRUE#,,0,1204.547,,18808.0,DG-BTM_NEVP_NV_Clark,Solar,DPV-ALL_Clark_NV_F[18],1204.547,1204.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17790,Tehachapi_Solar (Generic)PV-NT1153,25369,RP_WNDHBA_G,0.55,'VS,4,SolarPV-NonTracking,_,Iron Point -Proposed,#TRUE#,#2031-01-01#,#2050-12-31#,Future-Planned,CISC,CA_CISO,0.0,1153.0,0.0,YES,CA,Kern,,T3,Solar,Photovoltaic,#FALSE#,,0,1153,Solar_Photovoltaic,17790.0,Tehachapi_Solar (Generic)PV-NT1153,Solar,PV_Tehachapi_Solar (Generic)PV-NT1153_[18],1153.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17481,Wyoming_Wind (Generic),25454,RP_ELDRO_1G,0.39,'VW,4,WT-Onshore,_,ADS2032,#TRUE#,#2031-01-01#,#2050-12-31#,Future-Planned,CISC,CA_CISO,0.0,1062.0,0.0,YES,CA,El Dorado,,T3,Wind,Onshore,#FALSE#,,0,1062,Wind_Onshore,17481.0,Wyoming_Wind (Generic),Wind,WT_Shiloh I Wind Project1WT150 B-1_[18],1062.0,1062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18757,DG-BTM_CISD_CA_San Diego,22416,LOVELAND,69.0,'I7,4,DG-BTM,G0--,DG-BTM_CISD_CA_San Diego,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,CISD,CA_CISO,0.0,1027.718,0.0,YES,ID,,,,Solar,,#TRUE#,,0,1027.718,,18757.0,DG-BTM_CISD_CA_San Diego,Solar,DPV-ALL_San Diego_CA_F[18],1027.718,1027.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
